Exited,CreditScore,Attrition_Status
0,512,Retained
0,767,Retained
0,585,Retained
1,763,Attrited
0,712,Retained
1,539,Attrited
1,668,Attrited
0,703,Retained
0,662,Retained
0,725,Retained
0,703,Retained
1,659,Attrited
0,523,Retained
1,635,Attrited
0,772,Retained
0,545,Retained
0,634,Retained
1,739,Attrited
0,771,Retained
0,587,Retained
0,681,Retained
0,544,Retained
0,696,Retained
0,766,Retained
0,727,Retained
0,671,Retained
0,693,Retained
0,850,Retained
0,732,Retained
0,726,Retained
0,557,Retained
0,682,Retained
0,738,Retained
0,531,Retained
0,498,Retained
0,651,Retained
1,549,Attrited
0,791,Retained
0,650,Retained
1,733,Attrited
0,811,Retained
0,707,Retained
0,712,Retained
0,706,Retained
1,756,Attrited
0,777,Retained
0,646,Retained
1,714,Attrited
0,782,Retained
0,775,Retained
1,479,Attrited
0,807,Retained
0,799,Retained
0,675,Retained
0,602,Retained
0,475,Retained
0,744,Retained
0,588,Retained
0,703,Retained
0,747,Retained
0,583,Retained
1,750,Attrited
0,681,Retained
0,773,Retained
0,714,Retained
1,687,Attrited
0,511,Retained
0,627,Retained
0,694,Retained
0,616,Retained
0,687,Retained
0,712,Retained
0,553,Retained
0,667,Retained
1,731,Attrited
0,629,Retained
1,614,Attrited
0,438,Retained
0,652,Retained
0,729,Retained
0,642,Retained
0,806,Retained
0,744,Retained
0,474,Retained
1,559,Attrited
0,706,Retained
0,628,Retained
0,429,Retained
0,525,Retained
0,680,Retained
1,749,Attrited
0,763,Retained
0,734,Retained
0,716,Retained
0,594,Retained
1,644,Attrited
0,671,Retained
0,664,Retained
0,656,Retained
0,667,Retained
0,663,Retained
1,584,Attrited
0,626,Retained
1,485,Attrited
0,659,Retained
0,649,Retained
1,805,Attrited
1,716,Attrited
1,642,Attrited
0,659,Retained
0,545,Retained
0,543,Retained
0,718,Retained
0,840,Retained
0,630,Retained
0,643,Retained
0,654,Retained
0,582,Retained
0,659,Retained
0,762,Retained
0,568,Retained
0,670,Retained
0,613,Retained
0,539,Retained
0,850,Retained
1,522,Attrited
0,737,Retained
0,520,Retained
0,706,Retained
1,643,Attrited
0,648,Retained
0,443,Retained
0,640,Retained
0,628,Retained
0,540,Retained
0,460,Retained
0,636,Retained
0,593,Retained
0,801,Retained
0,640,Retained
0,611,Retained
0,802,Retained
0,717,Retained
0,769,Retained
1,745,Attrited
0,572,Retained
0,629,Retained
1,687,Attrited
0,483,Retained
0,690,Retained
0,492,Retained
0,709,Retained
0,705,Retained
0,560,Retained
0,611,Retained
0,730,Retained
0,709,Retained
0,544,Retained
0,712,Retained
0,752,Retained
1,648,Attrited
1,556,Attrited
0,594,Retained
0,645,Retained
0,557,Retained
0,547,Retained
0,701,Retained
1,616,Attrited
0,605,Retained
0,593,Retained
0,751,Retained
0,443,Retained
0,685,Retained
0,718,Retained
1,538,Attrited
0,611,Retained
0,668,Retained
0,537,Retained
0,709,Retained
0,850,Retained
0,745,Retained
1,693,Attrited
0,795,Retained
0,626,Retained
1,487,Attrited
0,556,Retained
0,643,Retained
0,605,Retained
1,756,Attrited
0,586,Retained
1,535,Attrited
0,678,Retained
0,596,Retained
0,648,Retained
0,492,Retained
0,702,Retained
0,486,Retained
1,568,Attrited
1,619,Attrited
0,724,Retained
0,548,Retained
1,545,Attrited
0,683,Retained
0,762,Retained
0,627,Retained
0,516,Retained
0,800,Retained
0,464,Retained
0,626,Retained
0,790,Retained
0,534,Retained
0,745,Retained
1,553,Attrited
0,748,Retained
0,722,Retained
0,501,Retained
1,675,Attrited
0,778,Retained
0,494,Retained
0,850,Retained
0,592,Retained
0,590,Retained
0,758,Retained
0,506,Retained
0,733,Retained
0,711,Retained
1,514,Attrited
0,637,Retained
0,468,Retained
0,539,Retained
0,509,Retained
1,662,Attrited
0,818,Retained
0,608,Retained
0,850,Retained
1,816,Attrited
0,536,Retained
0,753,Retained
0,631,Retained
1,703,Attrited
0,774,Retained
0,785,Retained
0,571,Retained
1,621,Attrited
0,605,Retained
0,611,Retained
0,569,Retained
0,658,Retained
0,788,Retained
0,525,Retained
0,798,Retained
0,486,Retained
1,615,Attrited
0,730,Retained
0,641,Retained
1,542,Attrited
0,692,Retained
0,714,Retained
0,591,Retained
0,710,Retained
0,639,Retained
1,531,Attrited
1,673,Attrited
0,765,Retained
0,622,Retained
0,806,Retained
0,757,Retained
1,570,Attrited
0,555,Retained
0,692,Retained
1,774,Attrited
0,638,Retained
0,543,Retained
0,584,Retained
0,691,Retained
0,684,Retained
0,733,Retained
0,599,Retained
0,524,Retained
0,632,Retained
0,735,Retained
0,734,Retained
1,605,Attrited
0,793,Retained
1,468,Attrited
0,779,Retained
1,698,Attrited
0,707,Retained
1,850,Attrited
0,850,Retained
0,527,Retained
0,696,Retained
0,661,Retained
0,776,Retained
0,701,Retained
0,610,Retained
1,572,Attrited
0,673,Retained
0,519,Retained
0,702,Retained
0,729,Retained
0,543,Retained
0,550,Retained
1,608,Attrited
0,639,Retained
0,686,Retained
1,564,Attrited
1,745,Attrited
0,833,Retained
0,622,Retained
0,597,Retained
1,721,Attrited
1,504,Attrited
0,842,Retained
0,587,Retained
0,479,Retained
0,508,Retained
0,749,Retained
0,721,Retained
1,674,Attrited
0,685,Retained
0,417,Retained
0,574,Retained
1,590,Attrited
0,587,Retained
1,598,Attrited
0,741,Retained
0,850,Retained
0,584,Retained
0,650,Retained
0,607,Retained
1,509,Attrited
0,689,Retained
0,543,Retained
1,438,Attrited
0,687,Retained
0,737,Retained
0,761,Retained
0,601,Retained
1,651,Attrited
0,745,Retained
1,648,Attrited
0,848,Retained
0,546,Retained
0,439,Retained
0,755,Retained
0,593,Retained
0,701,Retained
0,701,Retained
1,607,Attrited
0,586,Retained
0,547,Retained
1,647,Attrited
1,760,Attrited
1,621,Attrited
0,725,Retained
0,526,Retained
1,519,Attrited
1,713,Attrited
0,700,Retained
0,666,Retained
0,630,Retained
0,779,Retained
0,611,Retained
0,685,Retained
0,646,Retained
1,683,Attrited
0,484,Retained
1,601,Attrited
0,762,Retained
0,687,Retained
1,566,Attrited
0,702,Retained
0,601,Retained
0,699,Retained
0,584,Retained
0,699,Retained
0,698,Retained
0,495,Retained
0,650,Retained
0,605,Retained
0,667,Retained
0,688,Retained
1,727,Attrited
0,754,Retained
1,612,Attrited
0,546,Retained
0,673,Retained
0,593,Retained
0,656,Retained
0,535,Retained
0,678,Retained
0,477,Retained
0,850,Retained
0,427,Retained
0,752,Retained
0,649,Retained
0,799,Retained
1,589,Attrited
1,583,Attrited
0,839,Retained
0,540,Retained
1,850,Attrited
0,696,Retained
0,660,Retained
0,682,Retained
0,744,Retained
0,785,Retained
1,752,Attrited
0,706,Retained
0,583,Retained
1,660,Attrited
1,819,Attrited
1,673,Attrited
0,752,Retained
0,578,Retained
0,438,Retained
0,652,Retained
0,629,Retained
0,720,Retained
0,668,Retained
1,459,Attrited
0,729,Retained
0,498,Retained
0,549,Retained
0,601,Retained
0,544,Retained
0,751,Retained
0,632,Retained
0,694,Retained
0,678,Retained
0,695,Retained
0,661,Retained
0,661,Retained
0,559,Retained
0,503,Retained
0,695,Retained
0,640,Retained
0,624,Retained
0,667,Retained
0,642,Retained
0,640,Retained
0,529,Retained
0,563,Retained
0,593,Retained
1,739,Attrited
0,788,Retained
0,684,Retained
0,482,Retained
0,591,Retained
0,651,Retained
0,749,Retained
0,583,Retained
1,661,Attrited
0,715,Retained
1,769,Attrited
1,625,Attrited
0,641,Retained
0,716,Retained
0,767,Retained
0,745,Retained
0,589,Retained
0,796,Retained
0,664,Retained
1,445,Attrited
1,543,Attrited
0,746,Retained
0,742,Retained
0,750,Retained
0,669,Retained
0,594,Retained
0,574,Retained
0,659,Retained
1,750,Attrited
0,626,Retained
0,620,Retained
0,580,Retained
0,686,Retained
0,540,Retained
0,634,Retained
0,632,Retained
0,501,Retained
1,650,Attrited
0,786,Retained
0,554,Retained
0,701,Retained
0,474,Retained
0,621,Retained
1,672,Attrited
1,459,Attrited
0,669,Retained
0,776,Retained
0,694,Retained
0,787,Retained
0,580,Retained
0,711,Retained
0,673,Retained
1,499,Attrited
0,591,Retained
0,769,Retained
0,657,Retained
1,738,Attrited
1,545,Attrited
0,497,Retained
0,816,Retained
0,525,Retained
0,725,Retained
0,692,Retained
0,618,Retained
0,546,Retained
0,635,Retained
1,611,Attrited
0,650,Retained
0,606,Retained
0,844,Retained
0,450,Retained
0,727,Retained
0,460,Retained
0,649,Retained
0,758,Retained
0,490,Retained
0,815,Retained
0,838,Retained
0,803,Retained
0,664,Retained
0,736,Retained
0,633,Retained
0,664,Retained
0,600,Retained
1,693,Attrited
1,663,Attrited
0,742,Retained
1,710,Attrited
0,710,Retained
0,700,Retained
1,720,Attrited
0,684,Retained
1,531,Attrited
1,742,Attrited
0,717,Retained
0,589,Retained
0,767,Retained
1,636,Attrited
0,648,Retained
1,622,Attrited
1,692,Attrited
0,754,Retained
0,679,Retained
0,639,Retained
0,774,Retained
0,517,Retained
0,571,Retained
1,747,Attrited
0,792,Retained
0,688,Retained
0,714,Retained
0,562,Retained
0,704,Retained
0,698,Retained
0,611,Retained
0,850,Retained
0,743,Retained
0,654,Retained
0,761,Retained
0,702,Retained
0,488,Retained
0,683,Retained
0,601,Retained
0,605,Retained
0,671,Retained
0,614,Retained
0,511,Retained
0,850,Retained
1,790,Attrited
0,793,Retained
0,628,Retained
0,598,Retained
0,657,Retained
0,618,Retained
0,681,Retained
0,516,Retained
1,421,Attrited
0,700,Retained
0,745,Retained
0,696,Retained
1,580,Attrited
0,497,Retained
0,720,Retained
0,659,Retained
0,841,Retained
0,642,Retained
1,732,Attrited
0,600,Retained
0,464,Retained
0,680,Retained
0,758,Retained
0,630,Retained
0,577,Retained
0,684,Retained
0,708,Retained
0,732,Retained
0,634,Retained
0,633,Retained
0,559,Retained
0,694,Retained
0,686,Retained
1,553,Attrited
0,507,Retained
1,732,Attrited
0,818,Retained
0,660,Retained
1,773,Attrited
0,640,Retained
0,505,Retained
0,714,Retained
0,468,Retained
0,611,Retained
0,705,Retained
0,646,Retained
1,667,Attrited
0,511,Retained
0,653,Retained
0,675,Retained
0,523,Retained
1,567,Attrited
0,741,Retained
0,456,Retained
1,598,Attrited
1,667,Attrited
1,548,Attrited
0,725,Retained
0,717,Retained
0,594,Retained
0,678,Retained
0,545,Retained
1,636,Attrited
1,603,Attrited
0,435,Retained
0,535,Retained
1,629,Attrited
0,722,Retained
0,561,Retained
0,645,Retained
0,501,Retained
0,502,Retained
0,652,Retained
0,574,Retained
0,518,Retained
1,749,Attrited
1,679,Attrited
0,565,Retained
1,643,Attrited
0,515,Retained
0,521,Retained
0,739,Retained
0,585,Retained
0,733,Retained
0,542,Retained
0,788,Retained
0,435,Retained
0,577,Retained
1,703,Attrited
1,728,Attrited
0,728,Retained
0,718,Retained
0,621,Retained
1,523,Attrited
0,657,Retained
1,727,Attrited
0,643,Retained
0,645,Retained
0,568,Retained
1,599,Attrited
1,672,Attrited
0,685,Retained
1,516,Attrited
0,685,Retained
0,806,Retained
0,604,Retained
0,648,Retained
0,545,Retained
0,756,Retained
0,569,Retained
0,596,Retained
1,475,Attrited
0,646,Retained
0,784,Retained
0,552,Retained
0,729,Retained
1,609,Attrited
1,555,Attrited
0,572,Retained
0,785,Retained
0,714,Retained
0,738,Retained
0,639,Retained
0,520,Retained
0,764,Retained
0,661,Retained
0,564,Retained
0,708,Retained
1,512,Attrited
0,592,Retained
0,619,Retained
1,775,Attrited
0,850,Retained
0,577,Retained
0,724,Retained
0,710,Retained
0,696,Retained
1,376,Attrited
0,675,Retained
0,745,Retained
0,697,Retained
1,599,Attrited
1,715,Attrited
0,659,Retained
1,684,Attrited
0,635,Retained
0,789,Retained
0,571,Retained
0,694,Retained
1,665,Attrited
0,706,Retained
0,807,Retained
0,771,Retained
0,531,Retained
0,629,Retained
0,850,Retained
0,685,Retained
0,642,Retained
1,529,Attrited
1,683,Attrited
0,663,Retained
0,563,Retained
0,637,Retained
0,544,Retained
0,649,Retained
0,638,Retained
0,723,Retained
0,635,Retained
0,750,Retained
0,730,Retained
0,750,Retained
1,586,Attrited
0,520,Retained
0,652,Retained
0,550,Retained
0,594,Retained
0,749,Retained
0,668,Retained
1,614,Attrited
0,773,Retained
0,551,Retained
0,566,Retained
1,569,Attrited
0,659,Retained
1,722,Attrited
0,655,Retained
0,615,Retained
0,752,Retained
0,661,Retained
0,838,Retained
0,610,Retained
0,811,Retained
0,587,Retained
0,811,Retained
0,759,Retained
0,648,Retained
0,788,Retained
0,725,Retained
1,646,Attrited
0,601,Retained
1,521,Attrited
0,561,Retained
0,564,Retained
1,444,Attrited
0,650,Retained
1,724,Attrited
0,719,Retained
0,548,Retained
0,635,Retained
0,496,Retained
1,676,Attrited
0,541,Retained
0,778,Retained
1,850,Attrited
0,633,Retained
1,625,Attrited
0,485,Retained
0,547,Retained
0,642,Retained
0,718,Retained
0,582,Retained
0,628,Retained
0,737,Retained
0,828,Retained
0,609,Retained
0,730,Retained
0,631,Retained
0,830,Retained
0,645,Retained
0,663,Retained
0,678,Retained
0,521,Retained
0,625,Retained
0,523,Retained
0,714,Retained
0,580,Retained
0,722,Retained
1,630,Attrited
0,579,Retained
0,670,Retained
0,588,Retained
1,807,Attrited
1,726,Attrited
0,812,Retained
1,631,Attrited
0,682,Retained
0,625,Retained
0,607,Retained
0,600,Retained
0,602,Retained
0,545,Retained
0,675,Retained
1,581,Attrited
0,640,Retained
0,850,Retained
0,490,Retained
0,710,Retained
1,613,Attrited
0,812,Retained
0,723,Retained
1,512,Attrited
1,731,Attrited
0,650,Retained
1,594,Attrited
1,844,Attrited
1,686,Attrited
0,695,Retained
0,624,Retained
0,503,Retained
0,535,Retained
0,743,Retained
0,702,Retained
0,658,Retained
0,677,Retained
0,664,Retained
0,766,Retained
0,461,Retained
1,688,Attrited
0,678,Retained
0,796,Retained
1,803,Attrited
1,712,Attrited
0,498,Retained
0,850,Retained
0,628,Retained
0,539,Retained
0,732,Retained
1,715,Attrited
0,651,Retained
0,813,Retained
1,692,Attrited
1,756,Attrited
0,543,Retained
0,790,Retained
0,494,Retained
0,850,Retained
0,703,Retained
0,432,Retained
0,512,Retained
0,589,Retained
0,514,Retained
0,678,Retained
1,420,Attrited
0,679,Retained
0,595,Retained
1,713,Attrited
1,833,Attrited
0,690,Retained
1,731,Attrited
1,608,Attrited
0,479,Retained
0,519,Retained
1,731,Attrited
0,617,Retained
0,756,Retained
0,848,Retained
0,809,Retained
1,698,Attrited
1,779,Attrited
1,606,Attrited
0,612,Retained
0,663,Retained
0,549,Retained
0,675,Retained
1,669,Attrited
0,571,Retained
0,500,Retained
0,628,Retained
0,559,Retained
0,769,Retained
0,733,Retained
0,750,Retained
0,583,Retained
0,468,Retained
0,727,Retained
1,618,Attrited
0,617,Retained
0,793,Retained
0,630,Retained
1,765,Attrited
0,546,Retained
0,614,Retained
0,593,Retained
0,613,Retained
0,655,Retained
0,700,Retained
0,826,Retained
0,652,Retained
1,755,Attrited
0,538,Retained
0,729,Retained
0,615,Retained
0,700,Retained
1,434,Attrited
0,729,Retained
1,513,Attrited
1,755,Attrited
0,615,Retained
0,747,Retained
0,850,Retained
0,712,Retained
0,622,Retained
0,548,Retained
0,607,Retained
0,653,Retained
0,699,Retained
1,693,Attrited
0,647,Retained
0,478,Retained
1,705,Attrited
0,719,Retained
0,726,Retained
0,626,Retained
1,552,Attrited
0,807,Retained
0,621,Retained
0,651,Retained
1,673,Attrited
0,652,Retained
0,584,Retained
0,756,Retained
0,670,Retained
1,765,Attrited
0,528,Retained
1,701,Attrited
0,797,Retained
0,639,Retained
1,785,Attrited
1,363,Attrited
0,764,Retained
0,676,Retained
0,718,Retained
0,590,Retained
0,584,Retained
0,645,Retained
0,772,Retained
1,399,Attrited
0,529,Retained
0,463,Retained
0,630,Retained
0,780,Retained
0,584,Retained
0,752,Retained
0,697,Retained
0,850,Retained
1,711,Attrited
0,452,Retained
1,610,Attrited
0,694,Retained
1,579,Attrited
1,745,Attrited
0,572,Retained
0,505,Retained
1,706,Attrited
1,693,Attrited
0,725,Retained
0,791,Retained
0,536,Retained
0,699,Retained
0,500,Retained
0,707,Retained
0,531,Retained
0,557,Retained
0,659,Retained
0,575,Retained
0,775,Retained
0,772,Retained
1,587,Attrited
0,667,Retained
0,771,Retained
0,523,Retained
0,662,Retained
0,717,Retained
0,746,Retained
0,569,Retained
0,579,Retained
0,519,Retained
0,696,Retained
0,693,Retained
0,587,Retained
1,626,Attrited
0,666,Retained
0,512,Retained
0,689,Retained
0,803,Retained
0,548,Retained
1,588,Attrited
0,693,Retained
0,499,Retained
1,628,Attrited
0,624,Retained
0,733,Retained
0,628,Retained
0,633,Retained
0,559,Retained
1,704,Attrited
0,744,Retained
0,665,Retained
0,638,Retained
0,837,Retained
1,534,Attrited
0,548,Retained
0,837,Retained
0,658,Retained
0,554,Retained
0,724,Retained
0,723,Retained
0,585,Retained
1,474,Attrited
0,562,Retained
0,719,Retained
1,635,Attrited
0,743,Retained
0,681,Retained
0,521,Retained
0,741,Retained
1,790,Attrited
0,622,Retained
0,669,Retained
0,583,Retained
0,520,Retained
0,579,Retained
0,698,Retained
0,548,Retained
1,672,Attrited
0,653,Retained
0,734,Retained
0,794,Retained
0,641,Retained
0,824,Retained
0,534,Retained
0,653,Retained
0,498,Retained
0,683,Retained
0,618,Retained
0,538,Retained
0,643,Retained
0,428,Retained
1,593,Attrited
0,718,Retained
1,811,Attrited
1,823,Attrited
0,645,Retained
0,710,Retained
0,591,Retained
0,748,Retained
0,850,Retained
1,542,Attrited
0,809,Retained
1,675,Attrited
0,607,Retained
0,850,Retained
1,789,Attrited
1,598,Attrited
0,756,Retained
0,687,Retained
0,724,Retained
0,700,Retained
1,635,Attrited
0,687,Retained
0,613,Retained
0,781,Retained
0,703,Retained
1,593,Attrited
1,743,Attrited
0,640,Retained
0,849,Retained
0,778,Retained
0,539,Retained
0,489,Retained
1,568,Attrited
0,618,Retained
0,710,Retained
0,625,Retained
0,682,Retained
1,727,Attrited
1,794,Attrited
0,652,Retained
0,670,Retained
1,460,Attrited
0,568,Retained
0,643,Retained
0,521,Retained
0,615,Retained
0,575,Retained
0,717,Retained
1,648,Attrited
1,535,Attrited
0,626,Retained
1,611,Attrited
0,734,Retained
0,709,Retained
0,591,Retained
0,664,Retained
0,431,Retained
0,647,Retained
0,578,Retained
0,555,Retained
0,775,Retained
0,850,Retained
1,625,Attrited
0,645,Retained
1,608,Attrited
0,689,Retained
1,652,Attrited
0,769,Retained
0,611,Retained
0,489,Retained
1,528,Attrited
0,632,Retained
0,429,Retained
1,457,Attrited
0,768,Retained
0,715,Retained
0,668,Retained
0,625,Retained
1,846,Attrited
0,661,Retained
0,571,Retained
1,582,Attrited
0,716,Retained
0,758,Retained
0,725,Retained
1,630,Attrited
1,627,Attrited
0,653,Retained
1,775,Attrited
0,794,Retained
0,831,Retained
0,561,Retained
0,705,Retained
1,636,Attrited
1,487,Attrited
1,693,Attrited
0,517,Retained
0,684,Retained
0,620,Retained
0,757,Retained
0,739,Retained
1,662,Attrited
1,359,Attrited
0,572,Retained
0,721,Retained
0,707,Retained
0,444,Retained
1,523,Attrited
0,685,Retained
0,673,Retained
0,503,Retained
0,485,Retained
0,799,Retained
0,585,Retained
0,607,Retained
0,521,Retained
0,535,Retained
0,724,Retained
0,520,Retained
0,696,Retained
0,657,Retained
1,603,Attrited
0,726,Retained
0,591,Retained
1,792,Attrited
0,550,Retained
0,601,Retained
0,820,Retained
0,667,Retained
0,573,Retained
0,755,Retained
0,552,Retained
0,598,Retained
0,576,Retained
0,670,Retained
1,504,Attrited
0,778,Retained
1,558,Attrited
0,627,Retained
0,683,Retained
1,556,Attrited
0,583,Retained
0,705,Retained
0,637,Retained
1,697,Attrited
1,555,Attrited
0,594,Retained
1,632,Attrited
0,551,Retained
1,687,Attrited
0,672,Retained
1,521,Attrited
0,686,Retained
0,639,Retained
0,850,Retained
0,465,Retained
1,817,Attrited
0,578,Retained
0,611,Retained
1,616,Attrited
0,517,Retained
0,637,Retained
0,806,Retained
0,633,Retained
0,624,Retained
1,691,Attrited
1,819,Attrited
0,568,Retained
0,806,Retained
0,726,Retained
0,552,Retained
0,755,Retained
0,634,Retained
0,756,Retained
0,776,Retained
1,649,Attrited
0,595,Retained
0,646,Retained
0,592,Retained
0,574,Retained
0,850,Retained
0,850,Retained
1,475,Attrited
0,642,Retained
1,710,Attrited
1,596,Attrited
0,609,Retained
0,797,Retained
1,504,Attrited
1,735,Attrited
0,680,Retained
0,449,Retained
0,685,Retained
0,569,Retained
0,631,Retained
0,595,Retained
0,461,Retained
1,630,Attrited
0,661,Retained
0,796,Retained
1,710,Attrited
0,741,Retained
1,606,Attrited
0,747,Retained
0,549,Retained
0,576,Retained
0,528,Retained
0,535,Retained
0,575,Retained
0,656,Retained
0,440,Retained
0,539,Retained
0,850,Retained
0,646,Retained
0,744,Retained
0,710,Retained
1,544,Attrited
1,723,Attrited
0,507,Retained
0,787,Retained
0,598,Retained
0,796,Retained
0,569,Retained
0,711,Retained
0,661,Retained
0,415,Retained
0,578,Retained
0,611,Retained
0,600,Retained
0,661,Retained
0,850,Retained
1,573,Attrited
0,764,Retained
0,838,Retained
0,821,Retained
0,607,Retained
0,558,Retained
0,530,Retained
0,654,Retained
0,530,Retained
0,656,Retained
0,520,Retained
0,602,Retained
0,701,Retained
0,653,Retained
0,668,Retained
1,652,Attrited
0,639,Retained
0,730,Retained
0,780,Retained
0,592,Retained
0,628,Retained
1,658,Attrited
0,850,Retained
1,515,Attrited
0,571,Retained
0,760,Retained
0,720,Retained
0,632,Retained
1,694,Attrited
0,559,Retained
0,773,Retained
0,581,Retained
0,524,Retained
1,713,Attrited
0,676,Retained
1,651,Attrited
1,717,Attrited
0,594,Retained
1,716,Attrited
0,668,Retained
0,678,Retained
0,545,Retained
0,613,Retained
0,687,Retained
0,715,Retained
0,618,Retained
0,721,Retained
0,445,Retained
0,690,Retained
1,709,Attrited
0,671,Retained
0,538,Retained
0,735,Retained
0,592,Retained
0,747,Retained
0,675,Retained
0,632,Retained
0,621,Retained
0,521,Retained
0,591,Retained
0,706,Retained
0,677,Retained
0,769,Retained
0,771,Retained
1,601,Attrited
0,670,Retained
0,517,Retained
0,834,Retained
1,571,Attrited
0,576,Retained
0,718,Retained
0,636,Retained
0,566,Retained
0,711,Retained
0,574,Retained
0,619,Retained
0,588,Retained
1,760,Attrited
1,665,Attrited
0,739,Retained
0,641,Retained
0,685,Retained
0,594,Retained
0,557,Retained
0,697,Retained
0,656,Retained
0,712,Retained
1,689,Attrited
0,697,Retained
0,589,Retained
0,525,Retained
0,680,Retained
1,617,Attrited
0,680,Retained
0,662,Retained
1,736,Attrited
1,657,Attrited
1,350,Attrited
0,617,Retained
0,562,Retained
0,705,Retained
0,516,Retained
0,573,Retained
0,538,Retained
0,699,Retained
0,504,Retained
0,583,Retained
0,712,Retained
0,626,Retained
0,631,Retained
0,663,Retained
0,506,Retained
1,570,Attrited
0,703,Retained
0,698,Retained
0,731,Retained
0,625,Retained
1,634,Attrited
0,616,Retained
1,500,Attrited
0,446,Retained
0,669,Retained
0,581,Retained
1,704,Attrited
0,748,Retained
0,680,Retained
0,655,Retained
0,690,Retained
0,695,Retained
1,700,Attrited
0,773,Retained
0,749,Retained
1,611,Attrited
0,606,Retained
0,554,Retained
0,567,Retained
1,559,Attrited
0,594,Retained
0,513,Retained
0,652,Retained
1,680,Attrited
0,784,Retained
1,812,Attrited
0,784,Retained
0,570,Retained
0,712,Retained
0,705,Retained
0,681,Retained
0,620,Retained
0,711,Retained
0,613,Retained
1,613,Attrited
0,682,Retained
0,850,Retained
0,601,Retained
1,595,Attrited
0,675,Retained
0,591,Retained
0,602,Retained
0,554,Retained
0,541,Retained
0,506,Retained
0,814,Retained
0,683,Retained
0,485,Retained
0,696,Retained
