Exited,PointEarned,Attrition_Status
0,978,Retained
0,366,Retained
0,356,Retained
0,907,Retained
0,687,Retained
0,703,Retained
0,388,Retained
0,579,Retained
0,793,Retained
0,828,Retained
1,291,Attrited
0,951,Retained
0,952,Retained
1,616,Attrited
0,706,Retained
0,423,Retained
0,552,Retained
0,665,Retained
0,351,Retained
0,906,Retained
0,406,Retained
0,594,Retained
0,815,Retained
0,458,Retained
0,886,Retained
0,833,Retained
1,932,Attrited
1,632,Attrited
0,431,Retained
0,739,Retained
0,362,Retained
0,309,Retained
0,513,Retained
1,302,Attrited
0,437,Retained
0,337,Retained
0,629,Retained
0,858,Retained
0,543,Retained
0,939,Retained
1,797,Attrited
0,629,Retained
0,743,Retained
0,767,Retained
0,246,Retained
0,480,Retained
0,924,Retained
1,430,Attrited
0,708,Retained
0,701,Retained
1,982,Attrited
0,827,Retained
0,597,Retained
0,468,Retained
1,523,Attrited
0,650,Retained
1,567,Attrited
0,749,Retained
0,390,Retained
0,922,Retained
0,560,Retained
0,994,Retained
0,530,Retained
1,818,Attrited
1,367,Attrited
0,393,Retained
0,860,Retained
1,958,Attrited
0,576,Retained
0,887,Retained
0,396,Retained
0,565,Retained
0,874,Retained
0,665,Retained
0,680,Retained
0,319,Retained
0,351,Retained
0,781,Retained
1,918,Attrited
0,340,Retained
0,625,Retained
0,923,Retained
1,543,Attrited
0,859,Retained
0,794,Retained
0,241,Retained
0,702,Retained
0,816,Retained
0,404,Retained
0,299,Retained
0,855,Retained
0,886,Retained
1,774,Attrited
0,699,Retained
0,977,Retained
0,426,Retained
0,595,Retained
1,368,Attrited
0,261,Retained
0,614,Retained
0,765,Retained
1,961,Attrited
0,345,Retained
0,330,Retained
0,863,Retained
1,371,Attrited
0,282,Retained
0,937,Retained
0,722,Retained
1,956,Attrited
0,496,Retained
0,927,Retained
0,550,Retained
0,420,Retained
0,760,Retained
0,225,Retained
0,860,Retained
0,882,Retained
1,683,Attrited
0,500,Retained
0,516,Retained
1,328,Attrited
0,751,Retained
0,652,Retained
0,850,Retained
0,678,Retained
0,860,Retained
1,510,Attrited
1,954,Attrited
0,547,Retained
0,238,Retained
0,314,Retained
0,595,Retained
1,257,Attrited
0,850,Retained
0,552,Retained
1,540,Attrited
0,343,Retained
0,331,Retained
0,568,Retained
0,813,Retained
0,530,Retained
0,279,Retained
0,516,Retained
0,685,Retained
0,435,Retained
0,898,Retained
0,693,Retained
1,683,Attrited
0,690,Retained
1,547,Attrited
0,466,Retained
1,342,Attrited
0,230,Retained
1,757,Attrited
0,657,Retained
0,453,Retained
0,694,Retained
0,727,Retained
0,304,Retained
0,633,Retained
0,989,Retained
1,352,Attrited
0,936,Retained
0,689,Retained
0,267,Retained
0,613,Retained
0,480,Retained
0,951,Retained
1,585,Attrited
0,452,Retained
0,358,Retained
1,771,Attrited
1,238,Attrited
0,633,Retained
0,344,Retained
0,244,Retained
1,405,Attrited
1,408,Attrited
0,939,Retained
0,701,Retained
0,503,Retained
0,881,Retained
0,758,Retained
0,751,Retained
1,363,Attrited
0,560,Retained
0,969,Retained
0,470,Retained
1,759,Attrited
0,403,Retained
1,980,Attrited
0,245,Retained
0,283,Retained
0,453,Retained
0,683,Retained
0,863,Retained
1,264,Attrited
0,946,Retained
0,354,Retained
1,281,Attrited
0,938,Retained
0,815,Retained
0,753,Retained
0,650,Retained
1,629,Attrited
0,742,Retained
1,314,Attrited
0,844,Retained
0,776,Retained
0,913,Retained
0,786,Retained
0,939,Retained
0,812,Retained
0,689,Retained
1,647,Attrited
0,839,Retained
0,807,Retained
1,847,Attrited
1,550,Attrited
1,777,Attrited
0,865,Retained
0,425,Retained
1,934,Attrited
1,656,Attrited
0,903,Retained
0,427,Retained
0,708,Retained
0,625,Retained
0,645,Retained
0,808,Retained
0,525,Retained
1,746,Attrited
0,774,Retained
1,343,Attrited
0,669,Retained
0,258,Retained
1,817,Attrited
0,541,Retained
0,418,Retained
0,513,Retained
0,706,Retained
0,915,Retained
0,751,Retained
0,753,Retained
0,789,Retained
0,380,Retained
0,955,Retained
0,866,Retained
1,274,Attrited
0,380,Retained
1,455,Attrited
0,451,Retained
0,603,Retained
0,660,Retained
0,806,Retained
0,577,Retained
0,824,Retained
0,238,Retained
0,445,Retained
0,589,Retained
0,989,Retained
0,908,Retained
0,395,Retained
1,923,Attrited
1,878,Attrited
0,497,Retained
0,778,Retained
1,895,Attrited
0,509,Retained
0,485,Retained
0,229,Retained
0,982,Retained
0,834,Retained
1,265,Attrited
0,819,Retained
0,992,Retained
1,816,Attrited
1,444,Attrited
1,611,Attrited
0,974,Retained
0,325,Retained
0,660,Retained
0,691,Retained
0,921,Retained
0,678,Retained
0,335,Retained
1,661,Attrited
0,249,Retained
0,793,Retained
0,737,Retained
0,929,Retained
0,562,Retained
0,633,Retained
0,532,Retained
0,988,Retained
0,888,Retained
0,499,Retained
0,671,Retained
0,873,Retained
0,665,Retained
0,927,Retained
0,520,Retained
0,380,Retained
0,300,Retained
0,300,Retained
0,616,Retained
0,869,Retained
0,395,Retained
0,336,Retained
0,910,Retained
1,827,Attrited
0,844,Retained
0,866,Retained
0,408,Retained
0,515,Retained
0,807,Retained
0,678,Retained
0,304,Retained
1,426,Attrited
0,641,Retained
1,592,Attrited
1,833,Attrited
0,224,Retained
0,475,Retained
0,307,Retained
0,766,Retained
0,261,Retained
0,267,Retained
0,564,Retained
1,561,Attrited
1,677,Attrited
0,718,Retained
0,288,Retained
0,872,Retained
0,463,Retained
0,650,Retained
0,980,Retained
0,374,Retained
1,523,Attrited
0,279,Retained
0,402,Retained
0,717,Retained
0,410,Retained
0,274,Retained
0,989,Retained
0,666,Retained
0,518,Retained
1,653,Attrited
0,723,Retained
0,606,Retained
0,282,Retained
0,792,Retained
0,777,Retained
1,742,Attrited
1,326,Attrited
0,250,Retained
0,844,Retained
0,522,Retained
0,396,Retained
0,537,Retained
0,865,Retained
0,748,Retained
1,251,Attrited
0,602,Retained
0,865,Retained
0,225,Retained
1,912,Attrited
1,907,Attrited
0,592,Retained
0,459,Retained
0,969,Retained
0,393,Retained
0,588,Retained
0,517,Retained
0,494,Retained
0,274,Retained
1,561,Attrited
0,256,Retained
0,664,Retained
0,821,Retained
0,238,Retained
0,757,Retained
0,287,Retained
0,547,Retained
0,810,Retained
0,960,Retained
0,623,Retained
0,917,Retained
0,963,Retained
0,705,Retained
0,457,Retained
0,519,Retained
0,773,Retained
0,568,Retained
1,854,Attrited
1,944,Attrited
0,254,Retained
1,350,Attrited
0,314,Retained
0,603,Retained
1,274,Attrited
0,935,Retained
1,908,Attrited
1,914,Attrited
0,585,Retained
0,539,Retained
0,277,Retained
1,752,Attrited
0,219,Retained
1,475,Attrited
1,735,Attrited
0,497,Retained
0,369,Retained
0,740,Retained
0,461,Retained
0,540,Retained
0,329,Retained
1,844,Attrited
0,328,Retained
0,381,Retained
0,809,Retained
0,814,Retained
0,970,Retained
0,925,Retained
0,437,Retained
0,446,Retained
0,514,Retained
0,711,Retained
0,954,Retained
0,511,Retained
0,804,Retained
0,511,Retained
0,336,Retained
0,435,Retained
0,863,Retained
0,906,Retained
0,390,Retained
0,404,Retained
1,258,Attrited
0,987,Retained
0,348,Retained
0,686,Retained
0,517,Retained
0,341,Retained
0,854,Retained
0,692,Retained
1,237,Attrited
0,417,Retained
0,395,Retained
0,921,Retained
1,362,Attrited
0,709,Retained
0,506,Retained
0,367,Retained
0,242,Retained
0,323,Retained
1,719,Attrited
0,767,Retained
0,406,Retained
0,735,Retained
0,408,Retained
0,888,Retained
0,596,Retained
0,372,Retained
0,256,Retained
0,599,Retained
0,558,Retained
0,565,Retained
0,796,Retained
0,245,Retained
0,799,Retained
1,421,Attrited
0,691,Retained
1,738,Attrited
0,417,Retained
0,815,Retained
1,497,Attrited
0,351,Retained
0,726,Retained
0,910,Retained
0,780,Retained
0,247,Retained
0,723,Retained
0,689,Retained
1,736,Attrited
0,240,Retained
0,848,Retained
0,632,Retained
0,480,Retained
1,980,Attrited
0,437,Retained
0,454,Retained
1,839,Attrited
1,680,Attrited
1,374,Attrited
0,240,Retained
0,477,Retained
0,477,Retained
0,365,Retained
0,331,Retained
1,654,Attrited
1,652,Attrited
0,758,Retained
0,514,Retained
1,257,Attrited
0,883,Retained
0,933,Retained
0,573,Retained
0,721,Retained
0,434,Retained
0,230,Retained
0,596,Retained
0,610,Retained
1,718,Attrited
1,961,Attrited
0,237,Retained
1,450,Attrited
0,802,Retained
0,323,Retained
0,631,Retained
0,805,Retained
0,978,Retained
0,292,Retained
0,582,Retained
0,476,Retained
0,897,Retained
1,924,Attrited
1,273,Attrited
0,433,Retained
0,769,Retained
0,959,Retained
1,606,Attrited
0,487,Retained
1,513,Attrited
0,233,Retained
0,803,Retained
0,975,Retained
1,818,Attrited
1,397,Attrited
0,948,Retained
1,665,Attrited
0,444,Retained
0,767,Retained
0,684,Retained
0,715,Retained
0,319,Retained
0,448,Retained
0,693,Retained
0,458,Retained
1,388,Attrited
0,939,Retained
0,469,Retained
0,723,Retained
0,685,Retained
1,400,Attrited
1,406,Attrited
0,263,Retained
0,667,Retained
0,997,Retained
0,766,Retained
0,577,Retained
0,756,Retained
0,429,Retained
0,581,Retained
0,599,Retained
0,307,Retained
1,795,Attrited
0,413,Retained
0,348,Retained
1,347,Attrited
0,952,Retained
0,642,Retained
0,260,Retained
0,939,Retained
0,665,Retained
1,979,Attrited
0,329,Retained
0,296,Retained
0,282,Retained
1,543,Attrited
1,788,Attrited
0,513,Retained
1,579,Attrited
0,885,Retained
0,513,Retained
0,445,Retained
0,297,Retained
1,553,Attrited
0,528,Retained
0,660,Retained
0,352,Retained
0,835,Retained
0,330,Retained
0,747,Retained
0,404,Retained
0,479,Retained
1,693,Attrited
1,443,Attrited
0,676,Retained
0,254,Retained
0,365,Retained
0,939,Retained
0,989,Retained
0,893,Retained
0,409,Retained
0,368,Retained
0,324,Retained
0,822,Retained
0,447,Retained
1,230,Attrited
0,867,Retained
0,619,Retained
0,473,Retained
0,690,Retained
0,378,Retained
0,883,Retained
1,830,Attrited
0,692,Retained
0,748,Retained
0,542,Retained
1,268,Attrited
0,417,Retained
1,383,Attrited
0,435,Retained
0,287,Retained
0,535,Retained
0,508,Retained
0,376,Retained
0,691,Retained
0,859,Retained
0,500,Retained
0,513,Retained
0,875,Retained
0,238,Retained
0,797,Retained
0,644,Retained
1,641,Attrited
0,525,Retained
1,647,Attrited
0,704,Retained
0,563,Retained
1,669,Attrited
0,928,Retained
1,699,Attrited
0,411,Retained
0,504,Retained
0,506,Retained
0,494,Retained
1,982,Attrited
0,834,Retained
0,417,Retained
1,312,Attrited
0,804,Retained
1,835,Attrited
0,784,Retained
0,672,Retained
0,350,Retained
0,723,Retained
0,727,Retained
0,529,Retained
0,666,Retained
0,766,Retained
0,498,Retained
0,453,Retained
0,982,Retained
0,543,Retained
0,846,Retained
0,275,Retained
0,965,Retained
0,945,Retained
0,570,Retained
0,246,Retained
0,354,Retained
0,221,Retained
0,282,Retained
1,309,Attrited
0,473,Retained
0,732,Retained
0,468,Retained
1,406,Attrited
1,283,Attrited
0,985,Retained
1,728,Attrited
0,252,Retained
0,677,Retained
0,354,Retained
0,981,Retained
0,943,Retained
0,423,Retained
0,487,Retained
1,983,Attrited
0,417,Retained
0,609,Retained
0,319,Retained
0,411,Retained
1,599,Attrited
0,230,Retained
0,360,Retained
1,555,Attrited
1,333,Attrited
0,888,Retained
1,661,Attrited
1,326,Attrited
1,983,Attrited
0,282,Retained
0,888,Retained
0,717,Retained
0,467,Retained
0,707,Retained
0,876,Retained
0,783,Retained
0,562,Retained
0,739,Retained
0,436,Retained
0,963,Retained
1,663,Attrited
0,783,Retained
0,612,Retained
1,534,Attrited
1,291,Attrited
0,433,Retained
0,793,Retained
0,351,Retained
0,714,Retained
0,549,Retained
1,831,Attrited
0,771,Retained
0,505,Retained
1,686,Attrited
1,439,Attrited
0,894,Retained
0,320,Retained
0,527,Retained
0,373,Retained
0,242,Retained
0,716,Retained
0,798,Retained
0,553,Retained
0,478,Retained
0,223,Retained
1,974,Attrited
0,320,Retained
0,511,Retained
1,544,Attrited
1,504,Attrited
0,962,Retained
1,269,Attrited
1,836,Attrited
0,523,Retained
0,427,Retained
1,611,Attrited
0,647,Retained
0,565,Retained
0,795,Retained
0,507,Retained
1,257,Attrited
1,274,Attrited
1,418,Attrited
0,405,Retained
0,261,Retained
0,816,Retained
0,655,Retained
1,335,Attrited
0,696,Retained
0,266,Retained
0,668,Retained
0,784,Retained
0,801,Retained
0,845,Retained
0,950,Retained
0,322,Retained
0,506,Retained
0,841,Retained
1,383,Attrited
0,486,Retained
0,987,Retained
0,649,Retained
1,873,Attrited
0,715,Retained
0,636,Retained
0,490,Retained
0,474,Retained
0,437,Retained
0,781,Retained
0,708,Retained
0,388,Retained
1,265,Attrited
0,419,Retained
0,980,Retained
0,678,Retained
0,546,Retained
1,690,Attrited
0,829,Retained
1,276,Attrited
1,224,Attrited
0,437,Retained
0,885,Retained
0,377,Retained
0,822,Retained
0,295,Retained
0,638,Retained
0,377,Retained
0,795,Retained
0,874,Retained
1,709,Attrited
0,323,Retained
0,480,Retained
1,801,Attrited
0,337,Retained
0,616,Retained
0,775,Retained
1,759,Attrited
0,597,Retained
0,248,Retained
0,842,Retained
1,732,Attrited
0,946,Retained
0,236,Retained
0,677,Retained
0,671,Retained
1,357,Attrited
0,791,Retained
1,840,Attrited
0,779,Retained
0,291,Retained
1,766,Attrited
1,324,Attrited
0,410,Retained
0,679,Retained
0,887,Retained
0,360,Retained
0,565,Retained
0,892,Retained
0,410,Retained
1,475,Attrited
0,588,Retained
0,900,Retained
0,777,Retained
0,908,Retained
0,735,Retained
0,403,Retained
0,281,Retained
0,990,Retained
1,631,Attrited
0,923,Retained
1,237,Attrited
0,988,Retained
1,266,Attrited
1,447,Attrited
0,404,Retained
0,701,Retained
1,620,Attrited
1,408,Attrited
0,470,Retained
0,340,Retained
0,942,Retained
0,788,Retained
0,641,Retained
0,416,Retained
0,319,Retained
0,743,Retained
0,804,Retained
0,609,Retained
0,826,Retained
0,949,Retained
1,744,Attrited
0,609,Retained
0,625,Retained
0,738,Retained
0,243,Retained
0,594,Retained
0,642,Retained
0,688,Retained
0,725,Retained
0,398,Retained
0,597,Retained
0,459,Retained
0,916,Retained
1,780,Attrited
0,545,Retained
0,572,Retained
0,731,Retained
0,1000,Retained
0,574,Retained
1,801,Attrited
0,949,Retained
0,390,Retained
1,826,Attrited
0,591,Retained
0,668,Retained
0,914,Retained
0,674,Retained
0,969,Retained
1,828,Attrited
0,353,Retained
0,870,Retained
0,717,Retained
0,263,Retained
1,840,Attrited
0,409,Retained
0,644,Retained
0,940,Retained
0,326,Retained
0,985,Retained
0,505,Retained
0,791,Retained
1,454,Attrited
0,561,Retained
0,603,Retained
1,969,Attrited
0,993,Retained
0,444,Retained
0,843,Retained
0,234,Retained
1,661,Attrited
0,574,Retained
0,263,Retained
0,992,Retained
0,998,Retained
0,299,Retained
0,515,Retained
0,668,Retained
1,568,Attrited
0,495,Retained
0,434,Retained
0,266,Retained
0,893,Retained
0,977,Retained
0,472,Retained
0,644,Retained
0,949,Retained
0,905,Retained
0,594,Retained
0,710,Retained
0,893,Retained
0,221,Retained
1,620,Attrited
0,870,Retained
1,488,Attrited
1,621,Attrited
0,553,Retained
0,809,Retained
0,650,Retained
0,744,Retained
0,867,Retained
1,258,Attrited
0,533,Retained
1,752,Attrited
0,908,Retained
0,898,Retained
1,259,Attrited
1,858,Attrited
0,938,Retained
0,517,Retained
0,437,Retained
0,785,Retained
1,997,Attrited
0,334,Retained
0,411,Retained
0,608,Retained
0,751,Retained
1,376,Attrited
1,744,Attrited
0,429,Retained
0,923,Retained
0,598,Retained
0,327,Retained
0,232,Retained
1,805,Attrited
0,696,Retained
0,464,Retained
0,482,Retained
0,586,Retained
1,612,Attrited
1,226,Attrited
0,305,Retained
0,984,Retained
1,766,Attrited
0,634,Retained
0,606,Retained
0,942,Retained
0,721,Retained
0,600,Retained
0,801,Retained
1,425,Attrited
1,351,Attrited
0,429,Retained
1,380,Attrited
0,593,Retained
0,330,Retained
0,785,Retained
0,616,Retained
0,389,Retained
0,299,Retained
0,434,Retained
0,398,Retained
0,368,Retained
0,243,Retained
1,538,Attrited
0,318,Retained
1,268,Attrited
0,840,Retained
1,765,Attrited
0,667,Retained
0,692,Retained
0,821,Retained
1,764,Attrited
0,582,Retained
0,985,Retained
1,310,Attrited
0,570,Retained
0,484,Retained
0,995,Retained
0,343,Retained
1,994,Attrited
0,465,Retained
0,841,Retained
1,454,Attrited
0,565,Retained
0,430,Retained
0,279,Retained
1,475,Attrited
1,485,Attrited
0,834,Retained
1,332,Attrited
0,618,Retained
0,360,Retained
0,566,Retained
0,946,Retained
1,618,Attrited
1,400,Attrited
1,724,Attrited
0,584,Retained
0,807,Retained
0,540,Retained
0,889,Retained
0,746,Retained
1,709,Attrited
1,981,Attrited
0,628,Retained
0,260,Retained
0,263,Retained
0,580,Retained
1,566,Attrited
0,987,Retained
0,712,Retained
0,303,Retained
0,644,Retained
0,938,Retained
0,779,Retained
0,260,Retained
0,257,Retained
0,948,Retained
0,559,Retained
0,483,Retained
0,824,Retained
0,731,Retained
1,416,Attrited
0,899,Retained
0,733,Retained
1,779,Attrited
0,484,Retained
0,876,Retained
0,816,Retained
0,487,Retained
0,920,Retained
0,673,Retained
0,539,Retained
0,909,Retained
0,592,Retained
0,761,Retained
1,359,Attrited
0,656,Retained
1,254,Attrited
0,258,Retained
0,309,Retained
1,877,Attrited
0,691,Retained
0,566,Retained
0,721,Retained
1,238,Attrited
1,594,Attrited
0,285,Retained
1,964,Attrited
0,912,Retained
1,827,Attrited
0,311,Retained
1,773,Attrited
0,663,Retained
0,249,Retained
0,518,Retained
0,945,Retained
1,226,Attrited
0,813,Retained
0,911,Retained
1,289,Attrited
0,728,Retained
0,230,Retained
0,411,Retained
0,613,Retained
0,501,Retained
1,660,Attrited
1,991,Attrited
0,927,Retained
0,851,Retained
0,457,Retained
0,498,Retained
0,356,Retained
0,783,Retained
0,351,Retained
0,846,Retained
1,919,Attrited
0,972,Retained
0,329,Retained
0,588,Retained
0,241,Retained
0,388,Retained
0,534,Retained
1,800,Attrited
0,445,Retained
1,933,Attrited
1,317,Attrited
0,440,Retained
0,346,Retained
1,940,Attrited
1,886,Attrited
0,916,Retained
0,995,Retained
0,911,Retained
0,225,Retained
0,549,Retained
0,506,Retained
0,861,Retained
1,912,Attrited
0,410,Retained
0,570,Retained
1,720,Attrited
0,870,Retained
1,239,Attrited
0,970,Retained
0,903,Retained
0,847,Retained
0,391,Retained
0,322,Retained
0,930,Retained
0,259,Retained
0,260,Retained
0,750,Retained
0,681,Retained
0,493,Retained
0,306,Retained
0,636,Retained
1,642,Attrited
1,949,Attrited
0,284,Retained
0,511,Retained
0,779,Retained
0,804,Retained
0,970,Retained
0,766,Retained
0,393,Retained
0,833,Retained
0,240,Retained
0,720,Retained
0,910,Retained
0,883,Retained
0,661,Retained
1,273,Attrited
0,915,Retained
0,257,Retained
0,845,Retained
0,933,Retained
0,784,Retained
0,284,Retained
0,705,Retained
0,741,Retained
0,836,Retained
0,357,Retained
0,807,Retained
0,340,Retained
0,875,Retained
0,765,Retained
1,751,Attrited
0,522,Retained
0,800,Retained
0,885,Retained
0,619,Retained
0,983,Retained
1,411,Attrited
0,251,Retained
1,362,Attrited
0,350,Retained
0,969,Retained
0,987,Retained
0,959,Retained
1,991,Attrited
0,601,Retained
0,628,Retained
0,950,Retained
0,512,Retained
1,338,Attrited
0,324,Retained
1,658,Attrited
1,845,Attrited
0,871,Retained
1,771,Attrited
0,421,Retained
0,297,Retained
0,322,Retained
0,573,Retained
0,449,Retained
0,987,Retained
0,615,Retained
0,804,Retained
0,802,Retained
0,240,Retained
1,863,Attrited
0,931,Retained
0,718,Retained
0,999,Retained
0,241,Retained
0,527,Retained
0,844,Retained
0,271,Retained
0,502,Retained
0,700,Retained
0,710,Retained
0,536,Retained
0,664,Retained
0,883,Retained
0,626,Retained
1,587,Attrited
0,795,Retained
0,910,Retained
0,771,Retained
1,866,Attrited
0,859,Retained
0,818,Retained
0,379,Retained
0,719,Retained
0,949,Retained
0,686,Retained
0,508,Retained
0,715,Retained
1,511,Attrited
1,307,Attrited
0,429,Retained
0,846,Retained
0,220,Retained
0,801,Retained
0,281,Retained
0,900,Retained
0,778,Retained
0,957,Retained
1,731,Attrited
0,694,Retained
0,985,Retained
0,428,Retained
0,254,Retained
1,922,Attrited
0,618,Retained
0,479,Retained
1,610,Attrited
1,288,Attrited
1,643,Attrited
0,285,Retained
0,863,Retained
0,308,Retained
0,924,Retained
0,326,Retained
0,798,Retained
0,966,Retained
0,391,Retained
0,948,Retained
0,345,Retained
0,930,Retained
0,461,Retained
0,885,Retained
0,908,Retained
1,988,Attrited
0,662,Retained
0,981,Retained
0,968,Retained
0,503,Retained
1,760,Attrited
0,681,Retained
1,950,Attrited
0,444,Retained
0,269,Retained
0,258,Retained
1,329,Attrited
0,805,Retained
0,307,Retained
0,313,Retained
0,615,Retained
0,227,Retained
1,266,Attrited
0,748,Retained
0,942,Retained
1,749,Attrited
0,939,Retained
0,398,Retained
0,601,Retained
1,327,Attrited
0,866,Retained
0,743,Retained
0,343,Retained
1,269,Attrited
0,562,Retained
1,812,Attrited
0,672,Retained
0,507,Retained
0,927,Retained
0,344,Retained
0,526,Retained
0,836,Retained
0,258,Retained
0,245,Retained
1,637,Attrited
0,628,Retained
0,687,Retained
0,856,Retained
1,645,Attrited
0,432,Retained
0,997,Retained
0,719,Retained
0,539,Retained
0,771,Retained
0,929,Retained
0,474,Retained
0,698,Retained
0,633,Retained
0,896,Retained
