,RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
58,59,15682322,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,1,5,SILVER,549
59,60,15579915,614,France,Male,51,4,40685.92,1,1,1,46775.28,0,0,4,PLATINUM,954
60,61,15681928,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,0,4,GOLD,823
61,62,15734005,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,0,5,DIAMOND,769
62,63,15650432,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,0,5,PLATINUM,481
63,64,15592578,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,0,4,SILVER,903
64,65,15671243,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,0,3,PLATINUM,882
65,66,15775709,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,1,5,GOLD,379
66,67,15702631,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,1,3,PLATINUM,469
67,68,15602282,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,1,3,PLATINUM,683
68,69,15717879,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,1,1,GOLD,770
69,70,15740878,675,France,Female,21,8,98373.26,1,1,0,18203.0,0,0,5,SILVER,985
70,71,15794468,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,1,4,GOLD,725
71,72,15773277,813,France,Male,29,6,0.0,1,1,0,33953.87,0,0,3,PLATINUM,259
72,73,15572657,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,0,2,GOLD,979
73,74,15800295,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,0,2,SILVER,988
74,75,15672397,519,France,Male,36,9,0.0,2,0,1,145562.4,0,0,2,PLATINUM,833
75,76,15684921,735,France,Female,21,1,178718.19,2,1,0,22388.0,0,0,1,PLATINUM,527
76,77,15720676,664,France,Male,55,8,0.0,2,1,1,139161.64,0,0,5,SILVER,220
77,78,15731829,678,France,Female,32,9,0.0,1,1,1,148210.64,0,0,4,GOLD,983
78,79,15732672,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,0,3,SILVER,582
79,80,15692406,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,0,3,SILVER,281
80,81,15764405,665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0,3,DIAMOND,798
81,82,15757537,777,France,Female,32,2,0.0,1,1,0,136458.19,1,1,5,SILVER,917
82,83,15793307,543,France,Female,36,3,0.0,2,0,0,26019.59,0,0,2,DIAMOND,255
83,84,15660679,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0,4,SILVER,511
84,85,15666856,493,France,Female,46,4,0.0,2,1,0,1907.66,0,0,1,SILVER,498
85,86,15687372,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,0,5,DIAMOND,651
86,87,15667289,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,1,2,SILVER,852
87,88,15624641,729,France,Male,30,9,0.0,2,1,0,151869.35,0,0,1,DIAMOND,807
88,89,15734610,646,France,Female,46,4,0.0,3,1,0,93251.42,1,1,3,PLATINUM,470
89,90,15631882,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0,1,DIAMOND,659
90,91,15642709,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,1,3,DIAMOND,752
91,92,15811026,808,France,Male,45,7,118626.55,2,1,0,147132.46,0,0,1,SILVER,559
92,93,15596303,524,France,Female,36,10,0.0,2,1,0,109614.57,0,0,2,GOLD,375
93,94,15787255,769,France,Male,29,8,0.0,2,1,1,172290.61,0,0,2,DIAMOND,411
94,95,15617166,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,0,4,DIAMOND,722
95,96,15742442,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,0,1,GOLD,231
96,97,15758692,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,0,5,DIAMOND,488
97,98,15568238,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0,2,GOLD,965
98,99,15730353,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,0,4,SILVER,289
99,100,15731555,413,France,Male,34,9,0.0,2,0,0,6534.18,0,0,1,PLATINUM,449
100,101,15582404,665,France,Female,40,6,0.0,1,1,1,161848.03,0,0,2,SILVER,651
101,102,15721462,623,France,Female,44,6,0.0,2,0,0,167162.43,0,0,2,DIAMOND,520
102,103,15632899,738,France,Male,31,9,82674.15,1,1,0,41970.72,0,0,4,DIAMOND,234
103,104,15808526,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,0,5,SILVER,458
104,105,15694349,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,1,2,GOLD,915
105,106,15718465,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,1,3,GOLD,299
106,107,15682995,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,0,4,GOLD,838
107,108,15584776,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,0,5,PLATINUM,786
108,109,15777772,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,0,3,DIAMOND,509
109,110,15576156,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,1,3,DIAMOND,328
110,111,15646756,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,0,4,SILVER,347
111,112,15742886,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,0,5,SILVER,534
112,113,15586135,562,France,Male,42,2,100238.35,1,0,0,86797.41,0,0,5,PLATINUM,709
113,114,15616152,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,0,4,SILVER,749
114,115,15721460,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,1,5,PLATINUM,541
115,116,15727317,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,0,2,GOLD,736
116,117,15649536,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,0,4,SILVER,529
117,118,15754929,506,France,Female,41,1,0.0,2,1,0,31766.3,0,0,4,GOLD,594
118,119,15572051,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,1,1,SILVER,462
119,120,15668142,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,0,3,PLATINUM,429
120,121,15701176,828,France,Male,34,8,129433.34,2,0,0,38131.77,0,0,4,SILVER,370
121,122,15708422,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,0,1,PLATINUM,510
122,123,15655632,656,France,Female,39,6,0.0,2,1,0,141069.88,0,0,4,DIAMOND,638
123,124,15744606,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,0,1,GOLD,462
124,125,15612140,625,France,Female,28,3,0.0,1,0,0,183646.41,0,0,4,GOLD,718
125,126,15656086,432,France,Male,42,9,152603.45,1,1,0,110265.24,1,1,3,DIAMOND,437
126,127,15655298,549,France,Female,52,1,0.0,1,0,1,8636.05,1,1,4,DIAMOND,485
127,128,15644796,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,1,3,PLATINUM,410
128,129,15726250,828,France,Female,41,7,0.0,2,1,0,171378.77,0,0,2,PLATINUM,666
129,130,15764432,770,France,Male,24,9,101827.07,1,1,0,167256.35,0,0,4,GOLD,730
130,131,15631721,758,France,Female,34,3,0.0,2,1,1,124226.16,0,0,2,PLATINUM,375
131,132,15707479,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,0,5,GOLD,411
132,133,15579826,687,France,Male,38,9,122570.87,1,1,1,35608.88,0,0,4,DIAMOND,595
133,134,15668104,686,France,Male,25,1,0.0,2,0,1,16459.37,0,0,1,DIAMOND,578
134,135,15641604,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,0,2,PLATINUM,377
135,136,15587240,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,0,2,GOLD,831
136,137,15680767,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,0,1,SILVER,497
137,138,15601594,637,France,Male,40,2,133463.1,1,0,1,93165.34,0,0,1,PLATINUM,374
138,139,15589969,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,0,4,DIAMOND,814
139,140,15703728,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,1,4,GOLD,247
140,141,15617790,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,0,5,PLATINUM,965
141,142,15662500,663,France,Male,34,7,0.0,2,1,1,180427.24,0,0,3,SILVER,912
142,143,15778526,682,France,Female,43,5,125851.93,1,1,1,193318.33,0,0,4,GOLD,462
143,144,15670584,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,1,5,GOLD,883
144,145,15748069,691,France,Female,31,5,40915.55,1,1,0,126213.84,1,0,2,SILVER,402
145,146,15680597,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,0,4,GOLD,764
146,147,15628992,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,0,1,PLATINUM,608
147,148,15719624,650,France,Male,37,5,106967.18,1,0,0,24495.03,0,0,5,PLATINUM,652
148,149,15812767,735,France,Male,44,9,120681.63,1,1,0,74836.34,0,0,2,SILVER,520
149,150,15689201,416,France,Male,32,0,0.0,2,0,1,878.87,0,0,5,GOLD,884
150,151,15614716,754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,0,1,SILVER,800
151,152,15683618,535,France,Female,48,9,0.0,1,1,0,149892.79,1,1,4,GOLD,697
152,153,15799631,716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,0,2,SILVER,427
153,154,15692259,539,France,Male,37,2,127609.59,1,1,0,98646.22,0,0,1,DIAMOND,620
154,155,15590966,614,France,Female,43,6,0.0,2,1,1,109041.53,0,0,1,PLATINUM,318
155,156,15656426,706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,1,1,GOLD,701
156,157,15675256,758,France,Female,33,7,0.0,2,0,0,82996.47,0,0,4,PLATINUM,953
157,158,15751185,586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,0,5,PLATINUM,635
158,159,15789582,646,France,Female,73,6,97259.25,1,0,1,104719.66,0,0,1,PLATINUM,250
159,160,15651103,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,0,3,SILVER,662
160,161,15672299,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,0,2,GOLD,666
161,162,15772250,684,France,Male,30,2,0.0,2,1,0,83473.82,0,0,4,DIAMOND,699
162,163,15763922,800,France,Female,49,7,108007.36,1,0,0,47125.11,0,0,3,PLATINUM,855
163,164,15633870,721,Spain,Female,36,2,0.0,2,1,1,106977.8,0,0,5,SILVER,534
164,165,15624323,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,1,1,PLATINUM,388
165,166,15688612,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,0,5,GOLD,612
166,167,15694644,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,1,2,PLATINUM,801
167,168,15587174,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,0,1,PLATINUM,561
168,169,15579559,667,Spain,Female,39,2,0.0,2,1,0,40721.24,1,1,5,PLATINUM,308
169,170,15775430,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,0,5,SILVER,643
170,171,15623695,484,France,Female,29,4,130114.39,1,1,0,164017.89,0,0,1,GOLD,249
171,172,15760849,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,1,2,SILVER,818
172,173,15813095,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,1,1,GOLD,775
173,174,15705281,578,France,Male,30,4,169462.09,1,1,0,112187.11,0,1,5,DIAMOND,872
174,175,15812594,512,France,Male,40,5,0.0,2,1,1,146457.83,0,0,3,DIAMOND,435
175,176,15626322,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,0,2,SILVER,415
176,177,15723105,510,France,Female,30,0,0.0,2,1,1,130553.47,0,0,2,DIAMOND,430
177,178,15588449,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0,0,5,PLATINUM,929
178,179,15794849,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,0,5,SILVER,681
179,180,15620000,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,1,4,GOLD,810
180,181,15799720,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,0,5,GOLD,739
181,182,15711287,510,France,Male,65,2,0.0,2,1,1,48071.61,0,0,1,SILVER,280
182,183,15613102,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,0,2,DIAMOND,250
183,184,15621440,636,France,Male,42,2,0.0,2,1,1,55470.78,0,0,4,PLATINUM,991
184,185,15677146,804,France,Female,50,4,0.0,1,1,1,8546.87,1,1,2,GOLD,482
185,186,15801169,514,France,Male,32,8,0.0,2,1,0,95857.18,0,0,4,PLATINUM,423
186,187,15722425,730,France,Female,39,1,99010.67,1,1,0,194945.8,0,0,5,GOLD,260
187,188,15682421,525,Spain,Female,37,0,0.0,1,0,1,131521.72,0,0,5,SILVER,642
188,189,15691910,616,Spain,Male,30,5,0.0,2,0,1,196108.51,0,0,4,PLATINUM,701
189,190,15721779,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0,0,4,GOLD,570
190,191,15579548,715,France,Female,41,8,56214.85,2,0,0,92982.61,1,1,4,GOLD,790
191,192,15681075,512,France,Female,36,3,84327.77,2,1,0,17675.36,0,0,5,PLATINUM,727
192,193,15607884,479,France,Male,40,1,0.0,2,0,0,114996.43,0,0,3,SILVER,909
193,194,15767757,601,France,Male,32,8,93012.89,1,1,0,86957.42,0,0,2,GOLD,799
194,195,15791550,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,0,0,1,DIAMOND,520
195,196,15658589,807,France,Male,35,3,174790.15,1,1,1,600.36,0,0,3,SILVER,861
196,197,15670822,616,Spain,Female,32,6,0.0,2,1,1,43001.46,0,0,5,GOLD,512
197,198,15629744,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,0,0,1,PLATINUM,478
198,199,15660768,501,France,Male,57,10,0.0,2,1,1,47847.19,0,0,5,PLATINUM,374
199,200,15726310,521,France,Male,35,6,96423.84,1,1,0,10488.44,0,0,4,PLATINUM,280
200,201,15641298,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,0,0,2,DIAMOND,615
201,202,15625675,759,France,Male,42,4,105420.18,1,0,1,121409.06,0,0,3,GOLD,435
202,203,15713354,516,Spain,Male,50,5,0.0,1,0,1,146145.93,1,1,5,GOLD,509
203,204,15633866,711,France,Female,38,2,129022.06,2,1,1,14374.86,1,1,4,DIAMOND,321
204,205,15704231,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,0,0,1,PLATINUM,726
205,206,15735400,550,France,Male,37,3,0.0,1,1,1,179670.31,0,0,3,GOLD,516
206,207,15632826,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1,1,3,PLATINUM,639
207,208,15751022,618,France,Male,34,5,134954.53,1,1,1,151954.39,0,0,2,SILVER,512
208,209,15664737,643,France,Male,45,5,0.0,1,1,0,142513.5,1,1,3,GOLD,730
209,210,15681126,671,France,Male,45,2,106376.85,1,0,1,158264.62,0,0,3,DIAMOND,244
210,211,15738954,689,Germany,Male,33,2,161814.64,2,1,0,169381.9,0,0,3,PLATINUM,292
211,212,15662263,603,France,Male,31,8,0.0,2,1,1,169915.02,0,0,3,GOLD,245
212,213,15621611,620,France,Female,41,9,0.0,2,0,0,88852.47,0,0,3,DIAMOND,848
213,214,15783752,676,France,Female,34,1,63095.01,1,1,1,40645.81,0,0,3,SILVER,974
214,215,15709474,572,Germany,Male,26,4,118287.01,2,0,0,60427.3,0,0,4,DIAMOND,958
215,216,15701280,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1,1,3,GOLD,629
216,217,15671104,695,France,Male,46,7,49512.55,1,1,0,133007.34,0,0,3,DIAMOND,310
217,218,15796434,730,Spain,Female,33,9,0.0,2,0,0,176576.62,0,0,1,SILVER,621
218,219,15781505,807,France,Male,43,1,105799.32,2,1,0,34888.04,1,1,4,DIAMOND,924
219,220,15625819,592,France,Male,54,8,0.0,1,1,1,28737.71,1,1,2,PLATINUM,359
220,221,15753174,726,France,Female,31,9,114722.05,2,1,1,98178.57,0,0,5,SILVER,811
221,222,15654067,514,Spain,Male,30,7,0.0,1,0,1,125010.24,0,0,4,DIAMOND,583
222,223,15724719,567,France,Male,42,2,0.0,2,1,1,167984.61,0,0,5,SILVER,959
223,224,15624695,850,France,Male,33,10,0.0,1,1,0,4861.72,1,1,1,SILVER,359
224,225,15718216,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1,1,3,PLATINUM,901
225,226,15586300,670,France,Male,37,4,170557.91,2,1,0,198252.88,0,0,5,GOLD,729
226,227,15783349,694,France,Female,30,9,0.0,2,1,1,26960.31,0,0,5,DIAMOND,829
227,228,15725767,547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1,1,4,SILVER,790
228,229,15791925,751,Germany,Male,50,2,96888.39,1,1,0,77206.25,1,1,2,DIAMOND,756
229,230,15793585,594,Germany,Female,29,3,130830.22,1,1,0,61048.53,0,0,4,GOLD,873
230,231,15576641,673,France,Male,72,1,0.0,2,0,1,111981.19,0,0,3,SILVER,865
231,232,15749519,610,France,Male,40,0,0.0,2,1,0,62232.6,0,0,5,GOLD,690
232,233,15684960,512,France,Female,37,1,0.0,2,0,1,156105.03,0,0,4,PLATINUM,722
233,234,15591286,767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0,0,4,DIAMOND,535
234,235,15668323,585,France,Female,67,5,113978.97,2,0,1,93146.11,0,0,5,SILVER,580
235,236,15608528,763,Germany,Male,42,6,100160.75,1,1,0,33462.94,1,1,3,GOLD,709
236,237,15645184,712,France,Female,29,2,0.0,1,1,1,144375.0,0,0,4,GOLD,930
237,238,15702566,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1,1,4,DIAMOND,264
238,239,15660840,668,France,Female,46,2,0.0,3,1,0,89048.46,1,1,1,DIAMOND,943
239,240,15750811,703,France,Male,28,2,81173.83,2,0,1,162812.16,0,0,2,PLATINUM,388
240,241,15733842,662,Spain,Male,38,4,0.0,2,1,0,136259.65,0,0,5,GOLD,248
241,242,15581526,725,Germany,Female,39,5,116803.8,1,1,0,124052.97,0,0,2,GOLD,763
242,243,15662751,703,France,Male,37,8,105961.68,2,0,1,74158.8,0,0,1,DIAMOND,619
243,244,15684319,659,Germany,Male,67,6,117411.6,1,1,1,45071.09,1,1,2,SILVER,815
244,245,15702190,523,Spain,Male,34,7,0.0,2,1,0,62030.06,0,0,4,DIAMOND,566
245,246,15588517,635,France,Female,40,10,123497.58,1,1,0,131953.23,1,1,5,GOLD,774
246,247,15801863,772,Germany,Male,26,7,152400.51,2,1,0,79414.0,0,0,1,PLATINUM,695
247,248,15584271,545,France,Female,26,1,0.0,2,1,1,199638.56,0,0,5,PLATINUM,902
248,249,15700366,634,Germany,Male,24,8,103097.85,1,1,1,157577.29,0,0,2,GOLD,532
249,250,15804038,739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1,1,2,DIAMOND,718
250,251,15720820,771,Germany,Female,36,5,77846.9,1,0,0,99805.99,0,0,5,PLATINUM,895
251,252,15743759,587,Spain,Female,34,1,0.0,2,1,1,97932.68,0,0,4,DIAMOND,749
252,253,15749947,681,France,Female,79,0,0.0,2,0,1,170968.99,0,0,5,DIAMOND,333
253,254,15670496,544,Germany,Male,37,2,79731.91,1,1,1,57558.95,0,0,4,DIAMOND,866
254,255,15746664,696,Spain,Male,28,8,0.0,1,0,0,176713.47,0,0,3,SILVER,671
255,256,15745533,766,Spain,Male,41,0,0.0,2,0,1,34283.23,0,0,4,GOLD,670
256,257,15761497,727,France,Male,34,10,0.0,2,1,1,198637.34,0,0,4,GOLD,768
257,258,15628600,671,Germany,Female,34,6,37266.67,2,0,0,156917.12,0,0,3,SILVER,565
258,259,15627002,693,France,Female,30,6,127992.25,1,1,1,50457.2,0,0,1,SILVER,483
259,260,15614635,850,Germany,Male,38,3,54901.01,1,1,1,140075.55,0,0,2,GOLD,926
260,261,15731281,732,Germany,Male,42,9,108748.08,2,1,1,65323.11,0,0,1,DIAMOND,932
261,262,15814022,726,Spain,Female,48,6,99906.19,1,1,0,64323.24,0,0,4,DIAMOND,901
262,263,15659194,557,France,Female,32,6,184686.41,2,1,0,14956.44,0,0,3,GOLD,299
263,264,15745030,682,France,Female,26,0,110654.02,1,0,1,111879.21,0,0,2,PLATINUM,899
264,265,15691817,738,Spain,Male,31,9,79019.8,1,1,1,18606.23,0,0,4,PLATINUM,467
265,266,15707488,531,Spain,Female,36,9,99240.51,1,1,0,123137.01,0,0,1,PLATINUM,717
266,267,15784700,498,France,Male,34,2,0.0,2,1,1,148528.24,0,0,1,DIAMOND,549
267,268,15710397,651,France,Male,36,7,0.0,2,1,0,13898.31,0,0,1,GOLD,545
268,269,15687648,549,Spain,Female,39,7,0.0,1,0,0,81259.25,1,1,2,GOLD,716
269,270,15732281,791,Germany,Female,35,7,52436.2,1,1,0,161051.75,0,0,2,SILVER,650
270,271,15607230,650,Spain,Male,41,9,0.0,2,0,1,191599.67,0,0,4,PLATINUM,693
271,272,15567630,733,Germany,Male,34,3,100337.96,3,1,0,48559.19,1,1,4,PLATINUM,759
272,273,15587507,811,Germany,Female,34,1,149297.19,2,1,1,186339.74,0,0,2,GOLD,946
273,274,15733904,707,France,Male,30,8,0.0,2,1,0,33159.37,0,0,5,GOLD,402
274,275,15709511,712,Germany,Male,28,4,145605.44,1,0,1,93883.53,0,0,3,PLATINUM,465
275,276,15579616,706,Spain,Female,37,7,0.0,2,1,1,110899.3,0,0,1,GOLD,799
276,277,15694852,756,France,Male,62,3,0.0,1,1,1,11199.04,1,1,3,SILVER,600
